Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed,fitur_terdeteksi,text_final_stemmed_tokenized,polarity_score,polarity
ini aplikasi bermanfaat banget sih bagi wibu,ini aplikasi bermanfaat banget sih bagi wibu,ini aplikasi bermanfaat banget sih bagi wibu,ini aplikasi bermanfaat banget sih bagi wibu,ini aplikasi bermanfaat banget sih bagi wibu,"['ini', 'aplikasi', 'bermanfaat', 'banget', 'sih', 'bagi', 'wibu']","['ini', 'aplikasi', 'bermanfaat', 'banget', 'sih', 'bagi', 'wibu']","['aplikasi', 'bermanfaat', 'banget', 'wibu']",aplikasi bermanfaat banget wibu,aplikasi manfaat banget wibu,,"['aplikasi', 'manfaat', 'banget', 'wibu']",10,positive
recommended tapi kalo bisa iklannya di kurang in,recommended tapi kalo bisa iklannya di kurang in,recommended tapi kalo bisa iklannya di kurang in,recommended kalo bisa iklannya di kurang in,recommended kalau bisa iklannya di kurang in,"['recommended', 'kalau', 'bisa', 'iklannya', 'di', 'kurang', 'in']","['recommended', 'kalau', 'bisa', 'iklannya', 'di', 'kurang', 'in']","['recommended', 'iklannya']",recommended iklannya,recommended iklan,,"['recommended', 'iklan']",3,positive
sangat menyenangkan pakai app ini ngga monoton dan mudah terimakasih,sangat menyenangkan pakai app ini ngga monoton dan mudah terimakasih,sangat menyenangkan pakai app ini ngga monoton dan mudah terimakasih,sangat menyenangkan pakai app ini ngga monoton dan mudah terimakasih,sangat menyenangkan pakai app ini tidak monoton dan mudah terimakasih,"['sangat', 'menyenangkan', 'pakai', 'app', 'ini', 'tidak', 'monoton', 'dan', 'mudah', 'terimakasih']","['sangat', 'menyenangkan', 'pakai', 'app', 'ini', 'tidak', 'monoton', 'dan', 'mudah', 'terimakasih']","['menyenangkan', 'pakai', 'app', 'monoton', 'mudah', 'terimakasih']",menyenangkan pakai app monoton mudah terimakasih,senang pakai app monoton mudah terimakasih,,"['senang', 'pakai', 'app', 'monoton', 'mudah', 'terimakasih']",10,positive
BUAT YANG MAU BELAJAR BAHASA JEPANG WAJIB DOWNLOAD INI!!! 😻🫶🫶 POKOKNYA LENGKAP...!!😉👍👍,BUAT YANG MAU BELAJAR BAHASA JEPANG WAJIB DOWNLOAD INI  POKOKNYA LENGKAP,buat yang mau belajar bahasa jepang wajib download ini  pokoknya lengkap,buat yang mau belajar bahasa jepang wajib download ini  pokoknya lengkap,buat yang mau belajar bahasa jepang wajib download ini pokoknya lengkap,"['buat', 'yang', 'mau', 'belajar', 'bahasa', 'jepang', 'wajib', 'download', 'ini', 'pokoknya', 'lengkap']","['buat', 'yang', 'mau', 'belajar', 'bahasa', 'jepang', 'wajib', 'download', 'ini', 'pokoknya', 'lengkap']","['belajar', 'bahasa', 'jepang', 'wajib', 'download', 'pokoknya', 'lengkap']",belajar bahasa jepang wajib download pokoknya lengkap,ajar bahasa jepang wajib download pokok lengkap,,"['ajar', 'bahasa', 'jepang', 'wajib', 'download', 'pokok', 'lengkap']",15,positive
arigatou hey Japan desu,arigatou hey Japan desu,arigatou hey japan desu,arigatou hey japan desu,arigatou hai japan desu,"['arigatou', 'hai', 'japan', 'desu']","['terima kasih', 'hai', 'japan', 'desu']","['terima kasih', 'hai', 'japan', 'desu']",terima kasih hai japan desu,terima kasih hai japan desu,,"['terima', 'kasih', 'hai', 'japan', 'desu']",6,positive
"sangat bagus, kereeeennn",sangat bagus kereeeennn,sangat bagus kereeeennn,sangat bagus kereeeennn,sangat bagus kereeeennn,"['sangat', 'bagus', 'kereeeennn']","['sangat', 'bagus', 'kereeeennn']","['bagus', 'kereeeennn']",bagus kereeeennn,bagus kereeeennn,,"['bagus', 'kereeeennn']",4,positive
seru bangettt,seru bangettt,seru bangettt,seru bangettt,seru bangettt,"['seru', 'bangettt']","['seru', 'banget']","['seru', 'banget']",seru banget,seru banget,,"['seru', 'banget']",6,positive
bagusssss,bagusssss,bagusssss,bagusssss,bagusssss,['bagusssss'],['bagus'],['bagus'],bagus,bagus,,['bagus'],4,positive
mantab ya,mantab ya,mantab ya,mantab ya,mantab iya,"['mantab', 'iya']","['mantab', 'iya']",['mantab'],mantab,mantab,,['mantab'],0,neutral
sangat mudah untuk si fahami. aplikasinya juga bagus cocok yang mau belajar bahasa jepang secara ottodidak. klo ada bintang 6 saya kasih bintang 10.,sangat mudah untuk si fahami aplikasinya juga bagus cocok yang mau belajar bahasa jepang secara ottodidak klo ada bintang  saya kasih bintang,sangat mudah untuk si fahami aplikasinya juga bagus cocok yang mau belajar bahasa jepang secara ottodidak klo ada bintang  saya kasih bintang,sangat mudah untuk si fahami aplikasinya juga bagus cocok yang mau belajar bahasa jepang secara ottodidak klo ada bintang  saya kasih bintang,sangat mudah untuk si fahami aplikasinya juga bagus cocok yang mau belajar bahasa jepang secara ottodidak kalau ada bintang saya kasih bintang,"['sangat', 'mudah', 'untuk', 'si', 'fahami', 'aplikasinya', 'juga', 'bagus', 'cocok', 'yang', 'mau', 'belajar', 'bahasa', 'jepang', 'secara', 'ottodidak', 'kalau', 'ada', 'bintang', 'saya', 'kasih', 'bintang']","['sangat', 'mudah', 'untuk', 'si', 'fahami', 'aplikasinya', 'juga', 'bagus', 'cocok', 'yang', 'mau', 'belajar', 'bahasa', 'jepang', 'secara', 'ottodidak', 'kalau', 'ada', 'bintang', 'saya', 'kasih', 'bintang']","['mudah', 'si', 'fahami', 'aplikasinya', 'bagus', 'cocok', 'belajar', 'bahasa', 'jepang', 'ottodidak', 'bintang', 'kasih', 'bintang']",mudah si fahami aplikasinya bagus cocok belajar bahasa jepang ottodidak bintang kasih bintang,mudah si fahami aplikasi bagus cocok ajar bahasa jepang ottodidak bintang kasih bintang,,"['mudah', 'si', 'fahami', 'aplikasi', 'bagus', 'cocok', 'ajar', 'bahasa', 'jepang', 'ottodidak', 'bintang', 'kasih', 'bintang']",20,positive
"sangat membantu, ada fitur berbicara juga buat ngelatih bicara bahasa Jepang lebih lancar dan baik",sangat membantu ada fitur berbicara juga buat ngelatih bicara bahasa Jepang lebih lancar dan baik,sangat membantu ada fitur berbicara juga buat ngelatih bicara bahasa jepang lebih lancar dan baik,sangat membantu ada fitur berbicara juga buat ngelatih bicara bahasa jepang lebih lancar dan baik,sangat membantu ada fitur berbicara juga buat ngelatih bicara bahasa jepang lebih lancar dan baik,"['sangat', 'membantu', 'ada', 'fitur', 'berbicara', 'juga', 'buat', 'ngelatih', 'bicara', 'bahasa', 'jepang', 'lebih', 'lancar', 'dan', 'baik']","['sangat', 'membantu', 'ada', 'fitur', 'berbicara', 'juga', 'buat', 'ngelatih', 'bicara', 'bahasa', 'jepang', 'lebih', 'lancar', 'dan', 'baik']","['membantu', 'fitur', 'berbicara', 'ngelatih', 'bicara', 'bahasa', 'jepang', 'lancar', 'baik']",membantu fitur berbicara ngelatih bicara bahasa jepang lancar baik,bantu fitur bicara ngelatih bicara bahasa jepang lancar baik,,"['bantu', 'fitur', 'bicara', 'ngelatih', 'bicara', 'bahasa', 'jepang', 'lancar', 'baik']",11,positive
sangat bagus dan puas alfabet kosakata bahasa Jepang lengkap...,sangat bagus dan puas alfabet kosakata bahasa Jepang lengkap,sangat bagus dan puas alfabet kosakata bahasa jepang lengkap,sangat bagus dan puas alfabet kosakata bahasa jepang lengkap,sangat bagus dan puas alfabet kosakata bahasa jepang lengkap,"['sangat', 'bagus', 'dan', 'puas', 'alfabet', 'kosakata', 'bahasa', 'jepang', 'lengkap']","['sangat', 'bagus', 'dan', 'puas', 'alfabet', 'kosakata', 'bahasa', 'jepang', 'lengkap']","['bagus', 'puas', 'alfabet', 'kosakata', 'bahasa', 'jepang', 'lengkap']",bagus puas alfabet kosakata bahasa jepang lengkap,bagus puas alfabet kosakata bahasa jepang lengkap,kotoba,"['bagus', 'puas', 'alfabet', 'kosakata', 'bahasa', 'jepang', 'lengkap']",14,positive
"Bagus tapi lebih bagus lagi jika dalam bahasa jepang ke indonesia tidak ada penambahan yg tidak perlu. Seperti 子供の時、毎晩八時にねていました artinya kurang lebih : [ketika masih kecil,setiap malam tidur pada jam delapan] di aplikasi : [ketika SAYA masih kecil,SAYA BIASANYA tidur pada jam 8 setiap malam] 🤷 Ini translate SAYA dari mana coba? Ternyata setelah diteliti ini mirip seperti translatenya mesin translator, Bukan dari translate manual/orang. Jika ada penambahan kata,di kata jepangnya juga harus ada...",Bagus tapi lebih bagus lagi jika dalam bahasa jepang ke indonesia tidak ada penambahan yg tidak perlu Seperti  artinya kurang lebih  ketika masih kecilsetiap malam tidur pada jam delapan di aplikasi  ketika SAYA masih kecilSAYA BIASANYA tidur pada jam  setiap malam  Ini translate SAYA dari mana coba Ternyata setelah diteliti ini mirip seperti translatenya mesin translator Bukan dari translate manualorang Jika ada penambahan katadi kata jepangnya juga harus ada,bagus tapi lebih bagus lagi jika dalam bahasa jepang ke indonesia tidak ada penambahan yg tidak perlu seperti  artinya kurang lebih  ketika masih kecilsetiap malam tidur pada jam delapan di aplikasi  ketika saya masih kecilsaya biasanya tidur pada jam  setiap malam  ini translate saya dari mana coba ternyata setelah diteliti ini mirip seperti translatenya mesin translator bukan dari translate manualorang jika ada penambahan katadi kata jepangnya juga harus ada,bagus lebih bagus lagi jika dalam bahasa jepang ke indonesia tidak ada penambahan yg tidak perlu seperti  artinya kurang lebih  ketika masih kecilsetiap malam tidur pada jam delapan di aplikasi  ketika saya masih kecilsaya biasanya tidur pada jam  setiap malam  ini translate saya dari mana coba ternyata setelah diteliti ini mirip seperti translatenya mesin translator bukan dari translate manualorang jika ada penambahan katadi kata jepangnya juga harus ada,bagus lebih bagus lagi jika dalam bahasa jepang ke indonesia tidak ada penambahan yang tidak perlu seperti artinya kurang lebih ketika masih kecilsetiap malam tidur pada jam delapan di aplikasi ketika saya masih kecilsaya biasanya tidur pada jam setiap malam ini translate saya dari mana coba ternyata setelah diteliti ini mirip seperti translatenya mesin translator bukan dari translate manualorang jika ada penambahan katadi kata jepangnya juga harus ada,"['bagus', 'lebih', 'bagus', 'lagi', 'jika', 'dalam', 'bahasa', 'jepang', 'ke', 'indonesia', 'tidak', 'ada', 'penambahan', 'yang', 'tidak', 'perlu', 'seperti', 'artinya', 'kurang', 'lebih', 'ketika', 'masih', 'kecilsetiap', 'malam', 'tidur', 'pada', 'jam', 'delapan', 'di', 'aplikasi', 'ketika', 'saya', 'masih', 'kecilsaya', 'biasanya', 'tidur', 'pada', 'jam', 'setiap', 'malam', 'ini', 'translate', 'saya', 'dari', 'mana', 'coba', 'ternyata', 'setelah', 'diteliti', 'ini', 'mirip', 'seperti', 'translatenya', 'mesin', 'translator', 'bukan', 'dari', 'translate', 'manualorang', 'jika', 'ada', 'penambahan', 'katadi', 'kata', 'jepangnya', 'juga', 'harus', 'ada']","['bagus', 'lebih', 'bagus', 'lagi', 'jika', 'dalam', 'bahasa', 'jepang', 'ke', 'indonesia', 'tidak', 'ada', 'penambahan', 'yang', 'tidak', 'perlu', 'seperti', 'artinya', 'kurang', 'lebih', 'ketika', 'masih', 'kecilsetiap', 'malam', 'tidur', 'pada', 'jam', 'delapan', 'di', 'aplikasi', 'ketika', 'saya', 'masih', 'kecilsaya', 'biasanya', 'tidur', 'pada', 'jam', 'setiap', 'malam', 'ini', 'translate', 'saya', 'dari', 'mana', 'coba', 'ternyata', 'setelah', 'diteliti', 'ini', 'mirip', 'seperti', 'translatenya', 'mesin', 'translator', 'bukan', 'dari', 'translate', 'manualorang', 'jika', 'ada', 'penambahan', 'katadi', 'kata', 'jepangnya', 'juga', 'harus', 'ada']","['bagus', 'bagus', 'bahasa', 'jepang', 'indonesia', 'penambahan', 'kecilsetiap', 'malam', 'tidur', 'jam', 'delapan', 'aplikasi', 'kecilsaya', 'tidur', 'jam', 'malam', 'translate', 'coba', 'diteliti', 'translatenya', 'mesin', 'translator', 'translate', 'manualorang', 'penambahan', 'katadi', 'jepangnya']",bagus bagus bahasa jepang indonesia penambahan kecilsetiap malam tidur jam delapan aplikasi kecilsaya tidur jam malam translate coba diteliti translatenya mesin translator translate manualorang penambahan katadi jepangnya,bagus bagus bahasa jepang indonesia tambah kecilsetiap malam tidur jam delapan aplikasi kecilsaya tidur jam malam translate coba teliti translatenya mesin translator translate manualorang tambah katadi jepangnya,kotoba,"['bagus', 'bagus', 'bahasa', 'jepang', 'indonesia', 'tambah', 'kecilsetiap', 'malam', 'tidur', 'jam', 'delapan', 'aplikasi', 'kecilsaya', 'tidur', 'jam', 'malam', 'translate', 'coba', 'teliti', 'translatenya', 'mesin', 'translator', 'translate', 'manualorang', 'tambah', 'katadi', 'jepangnya']",31,positive
baru pemula,baru pemula,baru pemula,baru pemula,baru pemula,"['baru', 'pemula']","['baru', 'pemula']",['pemula'],pemula,mula,,['mula'],3,positive
aplikasinya cukup bisa membuat saya mengerti tentang janji jepang,aplikasinya cukup bisa membuat saya mengerti tentang janji jepang,aplikasinya cukup bisa membuat saya mengerti tentang janji jepang,aplikasinya cukup bisa membuat saya mengerti tentang janji jepang,aplikasinya cukup bisa membuat saya mengerti tentang janji jepang,"['aplikasinya', 'cukup', 'bisa', 'membuat', 'saya', 'mengerti', 'tentang', 'janji', 'jepang']","['aplikasinya', 'cukup', 'bisa', 'membuat', 'saya', 'mengerti', 'tentang', 'janji', 'jepang']","['aplikasinya', 'mengerti', 'janji', 'jepang']",aplikasinya mengerti janji jepang,aplikasi erti janji jepang,,"['aplikasi', 'erti', 'janji', 'jepang']",6,positive
sangat membantu mengenal hira lebih cepat arigatouuuu,sangat membantu mengenal hira lebih cepat arigatouuuu,sangat membantu mengenal hira lebih cepat arigatouuuu,sangat membantu mengenal hira lebih cepat arigatouuuu,sangat membantu mengenal hira lebih cepat arigatouuuu,"['sangat', 'membantu', 'mengenal', 'hira', 'lebih', 'cepat', 'arigatouuuu']","['sangat', 'membantu', 'mengenal', 'hira', 'lebih', 'cepat', 'arigatouuuu']","['membantu', 'mengenal', 'hira', 'cepat', 'arigatouuuu']",membantu mengenal hira cepat arigatouuuu,bantu kenal hira cepat arigatouuuu,,"['bantu', 'kenal', 'hira', 'cepat', 'arigatouuuu']",9,positive
cocok bgt buat yg pengen belajar jepang dari dasar. tiap soal kelihatannya berbeda namun memiliki pola kalimat sama. ini bagus untuk teman teman yg sedang dlm proses menghafal dan memahami pola kalimat dlm bahasa jepang,cocok bgt buat yg pengen belajar jepang dari dasar tiap soal kelihatannya berbeda namun memiliki pola kalimat sama ini bagus untuk teman teman yg sedang dlm proses menghafal dan memahami pola kalimat dlm bahasa jepang,cocok bgt buat yg pengen belajar jepang dari dasar tiap soal kelihatannya berbeda namun memiliki pola kalimat sama ini bagus untuk teman teman yg sedang dlm proses menghafal dan memahami pola kalimat dlm bahasa jepang,cocok bgt buat yg pengen belajar jepang dari dasar tiap soal kelihatannya berbeda memiliki pola kalimat sama ini bagus untuk teman teman yg sedang dlm proses menghafal dan memahami pola kalimat dlm bahasa jepang,cocok banget buat yang ingin belajar jepang dari dasar tiap soal kelihatannya berbeda memiliki pola kalimat sama ini bagus untuk teman teman yang sedang dalam proses menghafal dan memahami pola kalimat dalam bahasa jepang,"['cocok', 'banget', 'buat', 'yang', 'ingin', 'belajar', 'jepang', 'dari', 'dasar', 'tiap', 'soal', 'kelihatannya', 'berbeda', 'memiliki', 'pola', 'kalimat', 'sama', 'ini', 'bagus', 'untuk', 'teman', 'teman', 'yang', 'sedang', 'dalam', 'proses', 'menghafal', 'dan', 'memahami', 'pola', 'kalimat', 'dalam', 'bahasa', 'jepang']","['cocok', 'banget', 'buat', 'yang', 'ingin', 'belajar', 'jepang', 'dari', 'dasar', 'tiap', 'soal', 'kelihatannya', 'berbeda', 'memiliki', 'pola', 'kalimat', 'sama', 'ini', 'bagus', 'untuk', 'teman', 'teman', 'yang', 'sedang', 'dalam', 'proses', 'menghafal', 'dan', 'memahami', 'pola', 'kalimat', 'dalam', 'bahasa', 'jepang']","['cocok', 'banget', 'belajar', 'jepang', 'dasar', 'berbeda', 'memiliki', 'pola', 'kalimat', 'bagus', 'teman', 'teman', 'proses', 'menghafal', 'memahami', 'pola', 'kalimat', 'bahasa', 'jepang']",cocok banget belajar jepang dasar berbeda memiliki pola kalimat bagus teman teman proses menghafal memahami pola kalimat bahasa jepang,cocok banget ajar jepang dasar beda milik pola kalimat bagus teman teman proses hafal paham pola kalimat bahasa jepang,bunpou,"['cocok', 'banget', 'ajar', 'jepang', 'dasar', 'beda', 'milik', 'pola', 'kalimat', 'bagus', 'teman', 'teman', 'proses', 'hafal', 'paham', 'pola', 'kalimat', 'bahasa', 'jepang']",31,positive
sangat puas dan mudah dimengerti pembelajarannya membantu saya dalam belajar bahasa Jepang tanpa kesulitan trimakasih,sangat puas dan mudah dimengerti pembelajarannya membantu saya dalam belajar bahasa Jepang tanpa kesulitan trimakasih,sangat puas dan mudah dimengerti pembelajarannya membantu saya dalam belajar bahasa jepang tanpa kesulitan trimakasih,sangat puas dan mudah dimengerti pembelajarannya membantu saya dalam belajar bahasa jepang tanpa kesulitan trimakasih,sangat puas dan mudah dimengerti pembelajarannya membantu saya dalam belajar bahasa jepang tanpa kesulitan trimakasih,"['sangat', 'puas', 'dan', 'mudah', 'dimengerti', 'pembelajarannya', 'membantu', 'saya', 'dalam', 'belajar', 'bahasa', 'jepang', 'tanpa', 'kesulitan', 'trimakasih']","['sangat', 'puas', 'dan', 'mudah', 'dimengerti', 'pembelajarannya', 'membantu', 'saya', 'dalam', 'belajar', 'bahasa', 'jepang', 'tanpa', 'kesulitan', 'trimakasih']","['puas', 'mudah', 'dimengerti', 'pembelajarannya', 'membantu', 'belajar', 'bahasa', 'jepang', 'kesulitan', 'trimakasih']",puas mudah dimengerti pembelajarannya membantu belajar bahasa jepang kesulitan trimakasih,puas mudah erti ajar bantu ajar bahasa jepang sulit trimakasih,,"['puas', 'mudah', 'erti', 'ajar', 'bantu', 'ajar', 'bahasa', 'jepang', 'sulit', 'trimakasih']",22,positive
enak banget pasti aku bisa bahasa Jepang deh 😁😆😆😆,enak banget pasti aku bisa bahasa Jepang deh,enak banget pasti aku bisa bahasa jepang deh,enak banget pasti aku bisa bahasa jepang deh,enak banget pasti aku bisa bahasa jepang deh,"['enak', 'banget', 'pasti', 'aku', 'bisa', 'bahasa', 'jepang', 'deh']","['enak', 'banget', 'pasti', 'aku', 'bisa', 'bahasa', 'jepang', 'deh']","['enak', 'banget', 'bahasa', 'jepang', 'deh']",enak banget bahasa jepang deh,enak banget bahasa jepang deh,,"['enak', 'banget', 'bahasa', 'jepang', 'deh']",9,positive
"bergunaaa buat aku yang selalu pengen banget belajar bahasa Jepang, keren bangetttt",bergunaaa buat aku yang selalu pengen banget belajar bahasa Jepang keren bangetttt,bergunaaa buat aku yang selalu pengen banget belajar bahasa jepang keren bangetttt,bergunaaa buat aku yang selalu pengen banget belajar bahasa jepang keren bangetttt,bergunaaa buat aku yang selalu ingin banget belajar bahasa jepang keren bangetttt,"['bergunaaa', 'buat', 'aku', 'yang', 'selalu', 'ingin', 'banget', 'belajar', 'bahasa', 'jepang', 'keren', 'bangetttt']","['bergunaaa', 'buat', 'aku', 'yang', 'selalu', 'ingin', 'banget', 'belajar', 'bahasa', 'jepang', 'keren', 'bangetttt']","['bergunaaa', 'banget', 'belajar', 'bahasa', 'jepang', 'keren', 'bangetttt']",bergunaaa banget belajar bahasa jepang keren bangetttt,bergunaaa banget ajar bahasa jepang keren bangetttt,,"['bergunaaa', 'banget', 'ajar', 'bahasa', 'jepang', 'keren', 'bangetttt']",10,positive
apl ini bagus dan berguna bagi saya,apl ini bagus dan berguna bagi saya,apl ini bagus dan berguna bagi saya,apl ini bagus dan berguna bagi saya,apl ini bagus dan berguna bagi saya,"['apl', 'ini', 'bagus', 'dan', 'berguna', 'bagi', 'saya']","['apl', 'ini', 'bagus', 'dan', 'berguna', 'bagi', 'saya']","['apl', 'bagus', 'berguna']",apl bagus berguna,apl bagus guna,,"['apl', 'bagus', 'guna']",5,positive
"sangat membantu, pelajaran mudah dipahami dan menyenangkan 😍😍",sangat membantu pelajaran mudah dipahami dan menyenangkan,sangat membantu pelajaran mudah dipahami dan menyenangkan,sangat membantu pelajaran mudah dipahami dan menyenangkan,sangat membantu pelajaran mudah dipahami dan menyenangkan,"['sangat', 'membantu', 'pelajaran', 'mudah', 'dipahami', 'dan', 'menyenangkan']","['sangat', 'membantu', 'pelajaran', 'mudah', 'dipahami', 'dan', 'menyenangkan']","['membantu', 'pelajaran', 'mudah', 'dipahami', 'menyenangkan']",membantu pelajaran mudah dipahami menyenangkan,bantu ajar mudah paham senang,,"['bantu', 'ajar', 'mudah', 'paham', 'senang']",12,positive
aplikasinya membantu banget,aplikasinya membantu banget,aplikasinya membantu banget,aplikasinya membantu banget,aplikasinya membantu banget,"['aplikasinya', 'membantu', 'banget']","['aplikasinya', 'membantu', 'banget']","['aplikasinya', 'membantu', 'banget']",aplikasinya membantu banget,aplikasi bantu banget,,"['aplikasi', 'bantu', 'banget']",9,positive
bagus bngt!!!!!!!!,bagus bngt,bagus bngt,bagus bngt,bagus bngt,"['bagus', 'bngt']","['bagus', 'bngt']","['bagus', 'bngt']",bagus bngt,bagus bngt,,"['bagus', 'bngt']",4,positive
bugus,bugus,bugus,bugus,bugus,['bugus'],['bugus'],['bugus'],bugus,bugus,,['bugus'],0,neutral
"Bisa buat sambil belajar jugaa, seru",Bisa buat sambil belajar jugaa seru,bisa buat sambil belajar jugaa seru,bisa buat sambil belajar jugaa seru,bisa buat sambil belajar jugaa seru,"['bisa', 'buat', 'sambil', 'belajar', 'jugaa', 'seru']","['bisa', 'buat', 'sambil', 'belajar', 'jugaa', 'seru']","['belajar', 'jugaa', 'seru']",belajar jugaa seru,ajar jugaa seru,,"['ajar', 'jugaa', 'seru']",8,positive
"Bagus sekali apk ini untuk belajar dan lumayan efektif, sayangnya online jika ingin offline pembayarannya agak mahal dan juga frasanya dan pembelajaran nya masih ada yang kurang(tidak lengkap) tolong kepada developer untuk menambah beberapa frasa dari Kanji 🙏",Bagus sekali apk ini untuk belajar dan lumayan efektif sayangnya online jika ingin offline pembayarannya agak mahal dan juga frasanya dan pembelajaran nya masih ada yang kurangtidak lengkap tolong kepada developer untuk menambah beberapa frasa dari Kanji,bagus sekali apk ini untuk belajar dan lumayan efektif sayangnya online jika ingin offline pembayarannya agak mahal dan juga frasanya dan pembelajaran nya masih ada yang kurangtidak lengkap tolong kepada developer untuk menambah beberapa frasa dari kanji,bagus sekali apk ini untuk belajar dan lumayan efektif sayangnya online jika ingin offline pembayarannya agak mahal dan juga frasanya dan pembelajaran nya masih ada yang kurangtidak lengkap tolong kepada developer untuk menambah beberapa frasa dari kanji,bagus sekali apk ini untuk belajar dan lumayan efektif sayangnya online jika ingin offline pembayarannya agak mahal dan juga frasanya dan pembelajaran nya masih ada yang kurangtidak lengkap tolong kepada developer untuk menambah beberapa frasa dari kanji,"['bagus', 'sekali', 'apk', 'ini', 'untuk', 'belajar', 'dan', 'lumayan', 'efektif', 'sayangnya', 'online', 'jika', 'ingin', 'offline', 'pembayarannya', 'agak', 'mahal', 'dan', 'juga', 'frasanya', 'dan', 'pembelajaran', 'nya', 'masih', 'ada', 'yang', 'kurangtidak', 'lengkap', 'tolong', 'kepada', 'developer', 'untuk', 'menambah', 'beberapa', 'frasa', 'dari', 'kanji']","['bagus', 'sekali', 'apk', 'ini', 'untuk', 'belajar', 'dan', 'lumayan', 'efektif', 'sayangnya', 'online', 'jika', 'ingin', 'offline', 'pembayarannya', 'agak', 'mahal', 'dan', 'juga', 'frasanya', 'dan', 'pembelajaran', 'nya', 'masih', 'ada', 'yang', 'kurangtidak', 'lengkap', 'tolong', 'kepada', 'developer', 'untuk', 'menambah', 'beberapa', 'frasa', 'dari', 'kanji']","['bagus', 'apk', 'belajar', 'lumayan', 'efektif', 'sayangnya', 'online', 'offline', 'pembayarannya', 'mahal', 'frasanya', 'pembelajaran', 'kurangtidak', 'lengkap', 'tolong', 'developer', 'menambah', 'frasa', 'kanji']",bagus apk belajar lumayan efektif sayangnya online offline pembayarannya mahal frasanya pembelajaran kurangtidak lengkap tolong developer menambah frasa kanji,bagus apk ajar lumayan efektif sayang online offline bayar mahal frasa ajar kurangtidak lengkap tolong developer tambah frasa kanji,kanji,"['bagus', 'apk', 'ajar', 'lumayan', 'efektif', 'sayang', 'online', 'offline', 'bayar', 'mahal', 'frasa', 'ajar', 'kurangtidak', 'lengkap', 'tolong', 'developer', 'tambah', 'frasa', 'kanji']",28,positive
SANGATT MEMBANTUUUU,SANGATT MEMBANTUUUU,sangatt membantuuuu,sangatt membantuuuu,sangatt membantuuuu,"['sangatt', 'membantuuuu']","['sangatt', 'membantuuuu']","['sangatt', 'membantuuuu']",sangatt membantuuuu,sangatt membantuuuu,,"['sangatt', 'membantuuuu']",0,neutral
sangat bagus dan menarik,sangat bagus dan menarik,sangat bagus dan menarik,sangat bagus dan menarik,sangat bagus dan menarik,"['sangat', 'bagus', 'dan', 'menarik']","['sangat', 'bagus', 'dan', 'menarik']","['bagus', 'menarik']",bagus menarik,bagus tarik,,"['bagus', 'tarik']",6,positive
aplikasinya lumayan bagus untuk pemula yang ingin belajar bahasa Jepang,aplikasinya lumayan bagus untuk pemula yang ingin belajar bahasa Jepang,aplikasinya lumayan bagus untuk pemula yang ingin belajar bahasa jepang,aplikasinya lumayan bagus untuk pemula yang ingin belajar bahasa jepang,aplikasinya lumayan bagus untuk pemula yang ingin belajar bahasa jepang,"['aplikasinya', 'lumayan', 'bagus', 'untuk', 'pemula', 'yang', 'ingin', 'belajar', 'bahasa', 'jepang']","['aplikasinya', 'lumayan', 'bagus', 'untuk', 'pemula', 'yang', 'ingin', 'belajar', 'bahasa', 'jepang']","['aplikasinya', 'lumayan', 'bagus', 'pemula', 'belajar', 'bahasa', 'jepang']",aplikasinya lumayan bagus pemula belajar bahasa jepang,aplikasi lumayan bagus mula ajar bahasa jepang,,"['aplikasi', 'lumayan', 'bagus', 'mula', 'ajar', 'bahasa', 'jepang']",20,positive
mudah d pahami,mudah d pahami,mudah d pahami,mudah d pahami,mudah di pahami,"['mudah', 'di', 'pahami']","['mudah', 'di', 'pahami']","['mudah', 'pahami']",mudah pahami,mudah paham,,"['mudah', 'paham']",1,positive
"aplikasi sangat membantu belajar bahasa jepang,the best lh aplikasi ini",aplikasi sangat membantu belajar bahasa jepangthe best lh aplikasi ini,aplikasi sangat membantu belajar bahasa jepangthe best lh aplikasi ini,aplikasi sangat membantu belajar bahasa jepangthe best lh aplikasi ini,aplikasi sangat membantu belajar bahasa jepangthe best lh aplikasi ini,"['aplikasi', 'sangat', 'membantu', 'belajar', 'bahasa', 'jepangthe', 'best', 'lh', 'aplikasi', 'ini']","['aplikasi', 'sangat', 'membantu', 'belajar', 'bahasa', 'jepangthe', 'best', 'lh', 'aplikasi', 'ini']","['aplikasi', 'membantu', 'belajar', 'bahasa', 'jepangthe', 'best', 'lh', 'aplikasi']",aplikasi membantu belajar bahasa jepangthe best lh aplikasi,aplikasi bantu ajar bahasa jepangthe best lh aplikasi,,"['aplikasi', 'bantu', 'ajar', 'bahasa', 'jepangthe', 'best', 'lh', 'aplikasi']",19,positive
ばぐsバギさややんｇぢtengah ペｍべぁじゃらん,stengah,stengah,stengah,stengah,['stengah'],['stengah'],['stengah'],stengah,stengah,,['stengah'],0,neutral
